"","Algoritmo","input_size","Tiempo","Time_Complexity"
"1","RegularFor",32768,0.000111619,0.00000000341
"3","RegularFor",65536,0.000224782,0.00000000343
"5","RegularFor",131072,0.000455147,0.00000000347
"7","RegularFor",262144,0.000906108,0.00000000346
"9","RegularFor",524288,0.00183063,0.00000000349
"11","RegularFor",1048576,0.00365628,0.00000000349
"13","RegularFor",2097152,0.0073197,0.00000000349
"15","RegularFor",4194304,0.0146519,0.00000000349
"17","RegularFor",8388608,0.0292775,0.00000000349
"19","RegularFor",16777216,0.0585443,0.00000000349
"21","RegularFor",33554432,0.117224,0.00000000349
"23","RegularFor",67108864,0.234406,0.00000000349
"25","RegularFor",134217728,0.469054,0.00000000349
